model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count
vit_tiny_r_s16_p8_224,1809.8,141.431,256,224,0.44,2.06,6.34
simplenetv1_small_m1_075,1498.12,170.855,256,224,0.83,1.56,3.29
simplenetv1_small_m2_075,1222.18,209.433,256,224,1.02,1.79,3.29
simplenetv1_5m_m1,1034.1,247.529,256,224,1.46,2.09,5.75
deit_tiny_patch16_224,910.68,281.08,256,224,1.26,5.97,5.72
resnet18,832.07,307.634,256,224,1.82,2.48,11.69
simplenetv1_5m_m2,818.45,312.755,256,224,1.81,2.39,5.75
vit_base_patch32_224_sam,550.96,464.615,256,224,4.41,5.01,88.22
crossvit_9_240,540.26,473.812,256,240,1.85,9.52,8.55
tinynet_b,530.52,482.515,256,188,0.21,4.44,3.73
resnet26,519.5,492.742,256,224,2.36,7.35,16.0
tf_mobilenetv3_large_075,505.34,506.555,256,224,0.16,4.0,3.99
regnetx_006,475.48,538.373,256,224,0.61,3.98,6.2
resnet34,456.22,561.098,256,224,3.67,3.74,21.8
simplenetv1_9m_m1,455.52,561.959,256,224,2.96,3.41,9.51
dla34,441.47,579.845,256,224,3.07,5.02,15.74
repvgg_b0,434.24,589.509,256,224,3.41,6.15,15.82
ghostnet_100,406.6,629.583,256,224,0.15,3.55,5.18
tf_mobilenetv3_large_minimal_100,406.07,630.397,256,224,0.22,4.4,3.92
mobilenetv3_large_100,399.88,640.158,256,224,0.23,4.41,5.48
tf_mobilenetv3_large_100,387.42,660.742,256,224,0.23,4.41,5.48
simplenetv1_9m_m2,387.08,661.332,256,224,3.74,3.86,9.51
mobilenetv2_100,294.32,869.767,256,224,0.31,6.68,3.5
densenet121,271.19,943.952,256,224,2.87,6.9,7.98
vgg11,265.22,965.196,256,224,7.61,7.44,132.86
mnasnet_100,261.47,979.059,256,224,0.33,5.46,4.38
vgg11_bn,252.21,507.471,128,224,7.62,7.44,132.87
mobilenetv2_110d,230.59,1110.181,256,224,0.45,8.71,4.52
efficientnet_lite0,223.51,1145.336,256,224,0.4,6.74,4.65
tf_efficientnet_lite0,219.46,1166.486,256,224,0.4,6.74,4.65
vgg13,140.34,912.059,128,224,11.31,12.25,133.05
vgg13_bn,132.22,968.059,128,224,11.33,12.25,133.05
vgg16,115.5,1108.21,128,224,15.47,13.56,138.36
vgg16_bn,109.38,1170.163,128,224,15.5,13.56,138.37
vgg19,98.14,1304.284,128,224,19.63,14.86,143.67
vgg19_bn,93.53,1368.463,128,224,19.66,14.86,143.68
